,name,location,state,img_num
80,Gods Own Junkyard,"Unit 12 Ravenswood Industrial Estate Shernhall Street, London E17 9HQ England",london,126
81,Novelty Automation,"1A Princeton Street, London WC1R 4AX England",london,107
82,Fox in a Box London,"14 Dalston Lane, London E8 3AZ England",london,108
83,All Hallows By The Tower,"Byward Street, London EC3R 5BJ England",london,96
84,Grant Museum of Zoology,"21 University Street, London WC1E 6DE England",london,119
85,Petrie Museum of Egyptian Archaeology,,london,106
86,Alcotraz London: Cell Block Two-One-Two,"Hackney Road Unit 3B, Rosewood Building, London E2 8GY England",london,110
87,58 and Co.,"329 Acton Mews, London E8 4EF England",london,130
88,Sambrook's Brewery Heritage Centre,"42 Ram Street Ram Quarter, London SW18 1UR England",london,109
89,Iberotransfers,,london,97
90,Secret Studio,"Wentworth St, London E1 7SA England",london,107
91,The Spa at The Athenaeum,"116 Piccadilly Athenaeum Hotel & Apartments, London W1J 7BJ England",london,94
92,Escape Plan,"35-47 Bethnal Green Road Shoreditch, London SE17 3QA England",london,101
93,Sipsmith Distillery,"83 Cranbrook Road Chiswick, London W4 2LJ England",london,100
94,City of London Information Centre,"St. Paul's Churchyard The City, London EC4M 8BX England",london,96
95,Postman's Park,"2 King Edward Street, London EC1A 1HQ England",london,91
96,HiddenCity,"6-8 Bonhill Street Floor 3 The Worker’s League, London EC2A 4BX England",london,111
97,Swingers - West End,"15 John Princes Street, London W1G 0AB England",london,119
98,Enigma Quests,"2-12 Wilson Street Broadgate Circle, London EC2M 7LS England",london,103
99,Escape London - Shepherds Bush,"117 Uxbridge Road, London W12 8NL England",london,116
